time,food,rest,wait,work
1.0,0,0,0,50
2.0,0,0,0,50
3.0,0,0,0,50
4.0,0,0,0,50
5.0,0,0,0,50
6.0,0,0,0,50
7.0,0,0,0,50
8.0,0,0,0,50
9.0,1,0,0,50
10.0,1,0,0,50
11.0,1,0,0,50
12.0,1,0,0,50
13.0,1,0,0,50
14.0,1,0,0,50
15.0,2,0,0,50
16.0,4,0,0,50
17.0,6,0,0,50
18.0,7,0,0,50
19.0,7,0,0,50
20.0,8,0,0,50
21.0,9,0,0,50
22.0,10,0,0,50
23.0,12,0,0,50
24.0,13,0,0,50
25.0,15,0,0,50
26.0,16,0,0,50
27.0,18,0,0,50
28.0,18,0,0,50
29.0,19,0,0,50
30.0,20,0,0,50
31.0,22,2,0,48
32.0,26,6,0,44
33.0,28,8,0,42
34.0,32,12,0,38
35.0,33,13,0,37
36.0,37,17,0,33
37.0,40,20,0,30
38.0,40,20,0,30
39.0,40,20,0,30
40.0,40,20,0,30
41.0,40,20,0,30
42.0,41,21,0,29
43.0,41,21,0,29
44.0,42,22,0,28
45.0,43,23,0,27
46.0,44,22,0,28
47.0,46,20,1,29
48.0,47,19,0,31
49.0,47,15,0,35
50.0,47,13,1,36
51.0,47,10,0,40
52.0,47,7,1,42
53.0,49,9,0,41
54.0,50,10,0,40
55.0,51,11,0,39
56.0,51,11,0,39
57.0,54,10,0,40
58.0,54,10,0,40
59.0,54,9,0,41
60.0,55,9,0,41
61.0,55,8,0,42
62.0,55,6,1,43
63.0,55,5,0,45
64.0,56,5,0,45
65.0,60,6,0,44
66.0,62,7,0,43
67.0,64,8,0,42
68.0,65,6,0,44
69.0,67,6,0,44
70.0,67,5,0,45
71.0,71,5,0,45
72.0,73,5,0,45
73.0,73,5,0,45
74.0,74,5,0,45
75.0,74,4,0,46
76.0,76,4,0,46
77.0,78,4,0,46
78.0,81,5,0,45
79.0,84,5,0,45
80.0,84,4,0,46
81.0,85,4,0,46
82.0,89,7,0,43
83.0,90,6,1,43
84.0,92,8,0,42
85.0,94,8,0,42
86.0,99,12,0,38
87.0,99,12,0,38
88.0,99,12,0,38
89.0,102,14,0,36
90.0,105,16,0,34
91.0,107,17,0,33
92.0,109,19,0,31
93.0,110,18,0,32
94.0,112,19,0,31
95.0,112,19,0,31
96.0,117,22,0,28
97.0,117,18,2,30
98.0,118,18,0,32
99.0,119,16,0,34
100.0,119,16,0,34
101.0,120,12,0,38
102.0,120,12,0,38
103.0,122,13,0,37
104.0,125,14,1,35
105.0,126,13,0,37
106.0,128,11,2,37
107.0,129,11,0,39
108.0,132,11,0,39
109.0,132,10,0,40
110.0,135,11,0,39
111.0,135,7,0,43
112.0,137,8,0,42
113.0,138,8,0,42
114.0,138,8,0,42
115.0,140,8,0,42
116.0,142,9,0,41
117.0,144,10,0,40
118.0,145,10,0,40
119.0,146,8,0,42
120.0,147,8,0,42
