time,food,rest,wait,work
1.0,0,0,45,5
2.0,0,0,41,9
3.0,0,0,37,13
4.0,0,0,32,18
5.0,0,0,25,25
6.0,0,0,19,31
7.0,0,0,15,35
8.0,1,0,15,35
9.0,2,0,15,35
10.0,2,0,15,35
11.0,3,0,15,35
12.0,3,0,15,35
13.0,3,0,15,35
14.0,6,0,15,35
15.0,7,0,15,35
16.0,7,0,15,35
17.0,8,0,15,35
18.0,11,0,15,35
19.0,11,0,15,35
20.0,12,0,15,35
21.0,14,0,15,35
22.0,15,0,15,35
23.0,16,0,15,35
24.0,21,0,15,35
25.0,26,0,15,35
26.0,27,0,15,35
27.0,27,0,15,35
28.0,29,0,15,35
29.0,31,0,15,35
30.0,34,0,15,35
31.0,37,0,15,35
32.0,41,1,15,34
33.0,44,1,15,34
34.0,46,2,15,33
35.0,48,4,15,31
36.0,49,5,15,30
37.0,54,10,15,25
38.0,58,14,15,21
39.0,60,16,15,19
40.0,62,18,15,17
41.0,64,20,15,15
42.0,66,22,15,13
43.0,67,23,15,12
44.0,68,24,15,11
45.0,68,24,15,11
46.0,70,26,15,9
47.0,70,25,15,10
48.0,70,25,15,10
49.0,70,24,16,10
50.0,70,22,18,10
51.0,70,21,18,11
52.0,70,16,22,12
53.0,70,12,21,17
54.0,71,11,16,23
55.0,72,10,18,22
56.0,73,9,20,21
57.0,74,8,22,20
58.0,75,7,22,21
59.0,76,7,23,20
60.0,76,6,24,20
61.0,77,6,24,20
62.0,77,6,24,20
63.0,77,6,24,20
64.0,77,6,23,21
65.0,77,6,18,26
66.0,79,6,18,26
67.0,79,6,18,26
68.0,81,6,18,26
69.0,82,5,19,26
70.0,83,4,19,27
71.0,84,3,19,28
72.0,85,2,20,28
73.0,87,2,20,28
74.0,88,2,20,28
75.0,89,2,20,28
76.0,90,1,21,28
77.0,92,2,21,27
78.0,94,3,21,26
79.0,94,3,21,26
80.0,97,3,21,26
81.0,98,4,21,25
82.0,99,4,21,25
83.0,99,4,21,25
84.0,102,6,21,23
85.0,102,6,21,23
86.0,104,7,21,22
87.0,105,8,21,21
88.0,106,8,21,21
89.0,107,7,22,21
90.0,110,10,22,18
91.0,110,10,21,19
92.0,110,9,21,20
93.0,111,8,22,20
94.0,112,9,22,19
95.0,113,10,22,18
96.0,114,10,23,17
97.0,115,11,23,16
98.0,116,11,23,16
99.0,117,10,25,15
100.0,118,11,25,14
101.0,118,10,26,14
102.0,118,9,26,15
103.0,118,9,25,16
104.0,118,9,23,18
105.0,119,6,21,23
106.0,119,6,20,24
107.0,119,6,20,24
108.0,119,6,19,25
109.0,119,5,20,25
110.0,119,4,20,26
111.0,121,4,15,31
112.0,123,4,16,30
113.0,123,4,16,30
114.0,123,3,17,30
115.0,123,2,18,30
116.0,123,2,16,32
117.0,123,2,16,32
118.0,125,2,16,32
119.0,126,2,16,32
120.0,126,2,16,32
