time,food,rest,wait,work
1.0,0,0,47,3
2.0,0,0,42,8
3.0,0,0,36,14
4.0,0,0,33,17
5.0,0,0,28,22
6.0,0,0,19,31
7.0,0,0,14,36
8.0,0,0,9,41
9.0,0,0,4,46
10.0,1,0,2,48
11.0,2,0,2,48
12.0,2,0,2,48
13.0,2,0,2,48
14.0,2,0,2,48
15.0,4,0,2,48
16.0,5,0,2,48
17.0,6,0,2,48
18.0,7,0,2,48
19.0,8,0,2,48
20.0,10,0,2,48
21.0,10,0,2,48
22.0,11,0,2,48
23.0,13,0,2,48
24.0,14,0,2,48
25.0,18,0,2,48
26.0,20,0,2,48
27.0,21,0,2,48
28.0,21,0,2,48
29.0,25,0,2,48
30.0,28,0,2,48
31.0,28,0,2,48
32.0,28,0,2,48
33.0,29,0,2,48
34.0,31,1,2,47
35.0,34,3,2,45
36.0,35,3,2,45
37.0,36,4,2,44
38.0,39,6,2,42
39.0,39,6,2,42
40.0,40,7,2,41
41.0,43,10,2,38
42.0,45,12,2,36
43.0,46,13,2,35
44.0,48,15,2,33
45.0,49,16,2,32
46.0,51,18,2,30
47.0,52,19,2,29
48.0,52,19,2,29
49.0,52,18,3,29
50.0,52,16,5,29
51.0,54,18,5,27
52.0,56,19,6,25
53.0,57,18,7,25
54.0,57,18,6,26
55.0,58,18,7,25
56.0,58,15,10,25
57.0,59,14,12,24
58.0,60,14,11,25
59.0,61,13,13,24
60.0,63,13,14,23
61.0,66,14,15,21
62.0,66,13,15,22
63.0,68,15,15,20
64.0,68,15,15,20
65.0,69,16,15,19
66.0,70,15,17,18
67.0,71,13,19,18
68.0,72,12,19,19
69.0,73,13,19,18
70.0,73,12,20,18
71.0,73,12,20,18
72.0,74,12,18,20
73.0,75,11,19,20
74.0,75,10,20,20
75.0,77,10,21,19
76.0,78,7,24,19
77.0,78,7,24,19
78.0,78,5,25,20
79.0,79,5,24,21
80.0,79,4,25,21
81.0,80,3,25,22
82.0,82,4,25,21
83.0,83,4,25,21
84.0,83,3,26,21
85.0,84,4,26,20
86.0,85,5,26,19
87.0,85,4,27,19
88.0,87,4,27,19
89.0,87,4,27,19
90.0,89,5,28,17
91.0,90,5,28,17
92.0,90,5,28,17
93.0,90,5,28,17
94.0,90,5,25,20
95.0,93,6,25,19
96.0,93,6,25,19
97.0,94,5,26,19
98.0,94,5,26,19
99.0,94,5,26,19
100.0,95,5,27,18
101.0,98,4,28,18
102.0,98,4,28,18
103.0,99,5,28,17
104.0,100,6,28,16
105.0,100,4,29,17
106.0,101,5,29,16
107.0,103,6,29,15
108.0,104,6,29,15
109.0,104,6,29,15
110.0,105,6,30,14
111.0,105,6,29,15
112.0,105,6,29,15
113.0,105,6,29,15
114.0,105,6,28,16
115.0,106,5,28,17
116.0,107,5,28,17
117.0,107,5,28,17
118.0,107,4,29,17
119.0,107,3,28,19
120.0,108,4,28,18
