time,food,rest,wait,work
1.0,0,0,40,10
2.0,0,0,40,10
3.0,0,0,10,40
4.0,0,0,10,40
5.0,2,0,10,40
6.0,2,0,10,40
7.0,3,0,10,40
8.0,6,0,10,40
9.0,7,0,10,40
10.0,11,0,10,40
11.0,12,0,10,40
12.0,12,0,10,40
13.0,12,0,10,40
14.0,17,0,10,40
15.0,21,0,10,40
16.0,25,0,10,40
17.0,29,0,10,40
18.0,31,0,10,40
19.0,35,0,10,40
20.0,36,0,10,40
21.0,40,0,10,40
22.0,43,0,10,40
23.0,44,0,10,40
24.0,49,0,10,40
25.0,52,0,10,40
26.0,57,0,10,40
27.0,61,0,10,40
28.0,66,0,10,40
29.0,69,0,10,40
30.0,75,0,10,40
31.0,78,2,10,38
32.0,85,4,10,36
33.0,89,5,10,35
34.0,94,10,10,30
35.0,100,16,10,24
36.0,104,20,10,20
37.0,112,28,10,12
38.0,113,29,10,11
39.0,115,31,10,9
40.0,119,35,10,5
41.0,119,35,10,5
42.0,120,36,10,4
43.0,121,37,10,3
44.0,122,38,10,2
45.0,122,38,10,2
46.0,123,37,10,3
47.0,123,35,11,4
48.0,123,34,10,6
49.0,123,29,15,6
50.0,124,24,19,7
51.0,124,20,22,8
52.0,125,12,28,10
53.0,127,11,29,10
54.0,127,9,31,10
55.0,129,5,35,10
56.0,129,5,35,10
57.0,129,4,36,10
58.0,131,3,37,10
59.0,131,2,38,10
60.0,132,2,38,10
61.0,132,1,39,10
62.0,133,1,39,10
63.0,134,1,39,10
64.0,134,1,39,10
65.0,134,0,40,10
66.0,134,0,11,39
67.0,136,0,11,39
68.0,137,0,11,39
69.0,137,0,11,39
70.0,139,0,11,39
71.0,145,0,11,39
72.0,148,0,11,39
73.0,154,0,11,39
74.0,157,0,11,39
75.0,158,0,11,39
76.0,165,0,11,39
77.0,165,0,11,39
78.0,169,3,11,36
79.0,173,3,11,36
80.0,179,3,11,36
81.0,184,3,11,36
82.0,185,4,11,35
83.0,191,4,11,35
84.0,195,6,11,33
85.0,198,6,11,33
86.0,203,6,11,33
87.0,207,8,11,31
88.0,209,8,11,31
89.0,212,8,11,31
90.0,218,8,11,31
91.0,219,8,11,31
92.0,221,8,11,31
93.0,224,5,11,34
94.0,228,5,11,34
95.0,231,6,11,33
96.0,233,7,11,32
97.0,239,12,11,27
98.0,240,13,11,26
99.0,243,14,12,24
100.0,248,18,11,21
101.0,253,22,11,17
102.0,256,22,11,17
103.0,257,23,11,16
104.0,257,23,11,16
105.0,257,23,11,16
106.0,257,23,10,17
107.0,260,23,10,17
108.0,262,24,10,16
109.0,263,25,10,15
110.0,263,24,10,16
111.0,264,23,11,16
112.0,266,17,17,16
113.0,266,16,18,16
114.0,266,13,21,16
115.0,270,10,25,15
116.0,273,8,29,13
117.0,274,6,30,14
118.0,275,5,31,14
119.0,275,5,31,14
120.0,276,5,31,14
