time,food,rest,wait,work
1.0,0,0,40,10
2.0,0,0,40,10
3.0,0,0,10,40
4.0,0,0,10,40
5.0,0,0,10,40
6.0,0,0,10,40
7.0,0,0,10,40
8.0,0,0,10,40
9.0,1,0,10,40
10.0,1,0,10,40
11.0,2,0,10,40
12.0,3,0,10,40
13.0,5,0,10,40
14.0,5,0,10,40
15.0,6,0,10,40
16.0,9,0,10,40
17.0,11,0,10,40
18.0,13,0,10,40
19.0,13,0,10,40
20.0,14,0,10,40
21.0,19,0,10,40
22.0,19,0,10,40
23.0,22,0,10,40
24.0,23,0,10,40
25.0,24,0,10,40
26.0,30,0,10,40
27.0,32,0,10,40
28.0,35,0,10,40
29.0,35,0,10,40
30.0,38,0,10,40
31.0,42,1,10,39
32.0,44,1,10,39
33.0,46,2,10,38
34.0,46,2,10,38
35.0,50,6,10,34
36.0,54,10,10,30
37.0,57,13,10,27
38.0,59,15,10,25
39.0,59,15,10,25
40.0,59,15,10,25
41.0,60,16,10,24
42.0,60,16,10,24
43.0,60,16,10,24
44.0,61,17,10,23
45.0,61,17,10,23
46.0,62,17,10,23
47.0,64,19,10,21
48.0,64,18,10,22
49.0,64,18,10,22
50.0,65,15,13,22
51.0,65,11,17,22
52.0,66,8,20,22
53.0,66,6,22,22
54.0,66,6,22,22
55.0,66,6,12,32
56.0,67,5,11,34
57.0,67,5,11,34
58.0,67,5,11,34
59.0,68,4,11,35
60.0,70,4,11,35
61.0,70,3,12,35
62.0,71,2,14,34
63.0,72,3,14,33
64.0,73,3,14,33
65.0,76,3,15,32
66.0,77,4,15,31
67.0,78,5,15,30
68.0,78,5,15,30
69.0,81,7,15,28
70.0,82,8,15,27
71.0,83,8,15,27
72.0,84,9,15,26
73.0,85,10,15,25
74.0,86,11,15,24
75.0,88,11,15,24
76.0,90,12,15,23
77.0,90,11,16,23
78.0,90,10,17,23
79.0,93,11,17,22
80.0,95,11,18,21
81.0,95,10,18,22
82.0,96,9,18,23
83.0,96,9,18,23
84.0,99,8,19,23
85.0,99,7,19,24
86.0,100,8,19,23
87.0,100,7,20,23
88.0,100,6,21,23
89.0,100,5,13,32
90.0,102,7,13,30
91.0,104,7,14,29
92.0,104,7,14,29
93.0,104,7,14,29
94.0,105,6,11,33
95.0,105,5,12,33
96.0,106,5,12,33
97.0,107,6,12,32
98.0,107,6,12,32
99.0,112,6,13,31
100.0,113,6,12,32
101.0,113,5,13,32
102.0,113,5,13,32
103.0,113,5,11,34
104.0,117,5,11,34
105.0,118,3,13,34
106.0,118,2,14,34
107.0,118,2,14,34
108.0,120,2,12,36
109.0,122,2,12,36
110.0,124,2,12,36
111.0,124,2,12,36
112.0,124,1,13,36
113.0,129,2,13,35
114.0,130,1,13,36
115.0,133,2,13,35
116.0,133,2,13,35
117.0,134,2,13,35
118.0,138,2,13,35
119.0,140,2,13,35
120.0,146,7,13,30
