time,food,rest,wait,work
1.0,0,0,40,10
2.0,0,0,40,10
3.0,0,0,10,40
4.0,0,0,10,40
5.0,0,0,10,40
6.0,0,0,10,40
7.0,0,0,10,40
8.0,0,0,10,40
9.0,0,0,10,40
10.0,0,0,0,50
11.0,0,0,0,50
12.0,0,0,0,50
13.0,0,0,0,50
14.0,0,0,0,50
15.0,0,0,0,50
16.0,0,0,0,50
17.0,0,0,0,50
18.0,0,0,0,50
19.0,0,0,0,50
20.0,0,0,0,50
21.0,0,0,0,50
22.0,0,0,0,50
23.0,0,0,0,50
24.0,1,0,0,50
25.0,1,0,0,50
26.0,2,0,0,50
27.0,2,0,0,50
28.0,2,0,0,50
29.0,2,0,0,50
30.0,2,0,0,50
31.0,2,0,0,50
32.0,3,0,0,50
33.0,4,0,0,50
34.0,5,1,0,49
35.0,5,1,0,49
36.0,5,1,0,49
37.0,5,1,0,49
38.0,6,2,0,48
39.0,6,2,0,48
40.0,6,2,0,48
41.0,7,3,0,47
42.0,7,3,0,47
43.0,7,3,0,47
44.0,7,3,0,47
45.0,7,3,0,47
46.0,7,3,0,47
47.0,7,3,0,47
48.0,7,3,0,47
49.0,7,2,1,47
50.0,7,2,1,47
51.0,7,2,1,47
52.0,8,3,1,46
53.0,8,2,2,46
54.0,8,2,2,46
55.0,9,3,1,46
56.0,9,2,1,47
57.0,10,3,1,46
58.0,11,4,1,45
59.0,12,5,1,44
60.0,12,5,1,44
61.0,13,6,1,43
62.0,14,7,1,42
63.0,14,7,1,42
64.0,16,9,1,40
65.0,16,9,1,40
66.0,17,10,1,39
67.0,18,10,2,38
68.0,18,10,2,38
69.0,21,13,2,35
70.0,21,12,3,35
71.0,23,14,3,33
72.0,23,13,4,33
73.0,23,12,4,34
74.0,25,13,5,32
75.0,25,13,5,32
76.0,25,12,6,32
77.0,25,11,2,37
78.0,25,11,2,37
79.0,25,9,3,38
80.0,25,9,2,39
81.0,26,9,3,38
82.0,26,8,4,38
83.0,26,8,4,38
84.0,27,6,7,37
85.0,27,6,7,37
86.0,27,4,9,37
87.0,27,4,4,42
88.0,27,3,5,42
89.0,27,2,4,44
90.0,27,2,4,44
91.0,27,2,4,44
92.0,27,2,4,44
93.0,27,2,4,44
94.0,27,2,2,46
95.0,28,2,2,46
96.0,28,1,3,46
97.0,29,2,3,45
98.0,29,2,3,45
99.0,29,1,4,45
100.0,30,2,3,45
101.0,30,2,3,45
102.0,31,3,3,44
103.0,32,4,3,43
104.0,32,4,3,43
105.0,32,4,3,43
106.0,32,4,2,44
107.0,32,4,2,44
108.0,32,4,2,44
109.0,32,4,2,44
110.0,32,4,2,44
111.0,32,4,2,44
112.0,32,3,2,45
113.0,32,3,0,47
114.0,32,3,0,47
115.0,32,2,1,47
116.0,32,2,1,47
117.0,35,3,1,46
118.0,35,2,2,46
119.0,36,3,2,45
120.0,37,4,2,44
