time,food,rest,wait,work
1.0,0,0,40,10
2.0,0,0,40,10
3.0,0,0,10,40
4.0,0,0,10,40
5.0,0,0,10,40
6.0,0,0,10,40
7.0,3,0,10,40
8.0,3,0,10,40
9.0,3,0,10,40
10.0,5,0,10,40
11.0,5,0,10,40
12.0,5,0,10,40
13.0,5,0,10,40
14.0,5,0,10,40
15.0,8,0,10,40
16.0,8,0,10,40
17.0,9,0,10,40
18.0,10,0,10,40
19.0,11,0,10,40
20.0,12,0,10,40
21.0,12,0,10,40
22.0,13,0,10,40
23.0,15,0,10,40
24.0,18,0,10,40
25.0,19,0,10,40
26.0,21,0,10,40
27.0,21,0,10,40
28.0,22,0,10,40
29.0,23,0,10,40
30.0,24,0,10,40
31.0,27,1,10,39
32.0,29,1,10,39
33.0,29,1,10,39
34.0,31,3,10,37
35.0,31,3,10,37
36.0,35,7,10,33
37.0,35,7,10,33
38.0,40,12,10,28
39.0,41,13,10,27
40.0,41,13,10,27
41.0,41,13,10,27
42.0,41,13,10,27
43.0,41,13,10,27
44.0,41,13,10,27
45.0,43,15,10,25
46.0,44,15,10,25
47.0,44,15,10,25
48.0,44,15,10,25
49.0,44,13,11,26
50.0,46,15,11,24
51.0,46,11,14,25
52.0,46,11,14,25
53.0,46,6,18,26
54.0,46,5,16,29
55.0,48,7,16,27
56.0,48,7,16,27
57.0,49,8,16,26
58.0,49,8,16,26
59.0,49,7,17,26
60.0,49,6,11,33
61.0,50,5,12,33
62.0,51,6,12,32
63.0,51,6,12,32
64.0,52,6,12,32
65.0,52,4,14,32
66.0,53,4,14,32
67.0,54,4,14,32
68.0,55,5,14,31
69.0,57,5,14,31
70.0,58,4,14,32
71.0,59,4,14,32
72.0,61,5,15,30
73.0,64,8,15,27
74.0,66,8,15,27
75.0,68,8,15,27
76.0,70,8,15,27
77.0,70,7,16,27
78.0,71,7,16,27
79.0,72,8,16,26
80.0,73,8,16,26
81.0,76,9,16,25
82.0,78,9,16,25
83.0,79,8,17,25
84.0,81,10,17,23
85.0,81,9,18,23
86.0,82,10,18,22
87.0,84,9,19,22
88.0,85,7,21,22
89.0,88,8,21,21
90.0,89,8,21,21
91.0,89,8,21,21
92.0,89,8,21,21
93.0,89,8,10,32
94.0,90,8,11,31
95.0,94,10,11,29
96.0,95,10,11,29
97.0,95,10,11,29
98.0,95,10,11,29
99.0,98,8,11,31
100.0,99,8,11,31
101.0,102,9,12,29
102.0,102,8,13,29
103.0,105,9,14,27
104.0,106,9,15,26
105.0,106,9,15,26
106.0,108,9,15,26
107.0,109,9,15,26
108.0,111,9,15,26
109.0,112,8,15,27
110.0,112,6,17,27
111.0,112,5,18,27
112.0,113,5,18,27
113.0,114,5,18,27
114.0,117,5,18,27
115.0,120,6,18,26
116.0,121,4,20,26
117.0,121,4,20,26
118.0,121,2,22,26
119.0,123,1,23,26
120.0,124,1,23,26
