time,food,rest,wait,work
1.0,0,0,0,50
2.0,0,0,0,50
3.0,0,0,0,50
4.0,0,0,0,50
5.0,0,0,0,50
6.0,0,0,0,50
7.0,0,0,0,50
8.0,1,0,0,50
9.0,1,0,0,50
10.0,2,0,0,50
11.0,2,0,0,50
12.0,2,0,0,50
13.0,2,0,0,50
14.0,2,0,0,50
15.0,3,0,0,50
16.0,4,0,0,50
17.0,5,0,0,50
18.0,5,0,0,50
19.0,6,0,0,50
20.0,8,0,0,50
21.0,8,0,0,50
22.0,9,0,0,50
23.0,10,0,0,50
24.0,10,0,0,50
25.0,12,0,0,50
26.0,14,0,0,50
27.0,16,0,0,50
28.0,17,0,0,50
29.0,19,0,0,50
30.0,20,0,0,50
31.0,21,1,0,49
32.0,24,4,0,46
33.0,28,8,0,42
34.0,30,10,0,40
35.0,34,14,0,36
36.0,35,15,0,35
37.0,37,17,0,33
38.0,38,18,0,32
39.0,38,18,0,32
40.0,39,19,0,31
41.0,39,19,0,31
42.0,39,19,0,31
43.0,40,20,0,30
44.0,41,21,0,29
45.0,41,21,0,29
46.0,41,20,0,30
47.0,41,17,0,33
48.0,42,14,1,35
49.0,42,12,0,38
50.0,44,10,0,40
51.0,44,9,0,41
52.0,44,7,0,43
53.0,44,6,0,44
54.0,45,6,0,44
55.0,45,5,0,45
56.0,47,6,0,44
57.0,48,7,0,43
58.0,49,7,1,42
59.0,50,6,0,44
60.0,51,6,0,44
61.0,51,6,0,44
62.0,52,6,0,44
63.0,52,5,0,45
64.0,52,5,0,45
65.0,54,3,0,47
66.0,56,3,0,47
67.0,58,4,0,46
68.0,58,4,0,46
69.0,58,4,0,46
70.0,58,4,0,46
71.0,61,4,0,46
72.0,63,3,0,47
73.0,64,2,0,48
74.0,65,3,0,47
75.0,65,3,0,47
76.0,67,3,0,47
77.0,69,3,0,47
78.0,72,4,0,46
79.0,74,6,0,44
80.0,75,7,0,43
81.0,77,9,0,41
82.0,78,9,0,41
83.0,79,10,0,40
84.0,82,10,0,40
85.0,83,11,0,39
86.0,83,10,0,40
87.0,84,11,0,39
88.0,84,11,0,39
89.0,85,11,0,39
90.0,86,12,0,38
91.0,88,13,0,37
92.0,89,13,0,37
93.0,90,13,0,37
94.0,91,12,0,38
95.0,92,12,0,38
96.0,92,10,1,39
97.0,93,9,1,40
98.0,94,9,0,41
99.0,96,10,0,40
100.0,97,10,0,40
101.0,97,10,0,40
102.0,97,9,0,41
103.0,99,11,0,39
104.0,100,10,0,40
105.0,100,9,0,41
106.0,101,8,0,42
107.0,102,8,0,42
108.0,103,7,0,43
109.0,103,6,0,44
110.0,104,6,0,44
111.0,105,6,0,44
112.0,106,5,0,45
113.0,107,5,0,45
114.0,110,5,1,44
115.0,111,4,0,46
116.0,112,4,0,46
117.0,113,5,0,45
118.0,114,3,0,47
119.0,114,3,0,47
120.0,117,4,0,46
