time,food,rest,wait,work
1.0,0,0,40,10
2.0,0,0,40,10
3.0,0,0,10,40
4.0,0,0,10,40
5.0,0,0,10,40
6.0,0,0,10,40
7.0,0,0,10,40
8.0,1,0,10,40
9.0,1,0,10,40
10.0,2,0,10,40
11.0,3,0,10,40
12.0,4,0,10,40
13.0,4,0,10,40
14.0,4,0,10,40
15.0,5,0,10,40
16.0,6,0,10,40
17.0,9,0,10,40
18.0,11,0,10,40
19.0,13,0,10,40
20.0,16,0,10,40
21.0,17,0,10,40
22.0,19,0,10,40
23.0,20,0,10,40
24.0,24,0,10,40
25.0,26,0,10,40
26.0,28,0,10,40
27.0,30,0,10,40
28.0,33,0,10,40
29.0,37,0,10,40
30.0,38,0,10,40
31.0,40,1,10,39
32.0,42,1,10,39
33.0,45,3,10,37
34.0,47,5,10,35
35.0,50,8,10,32
36.0,53,11,10,29
37.0,58,16,10,24
38.0,60,18,10,22
39.0,63,21,10,19
40.0,64,22,10,18
41.0,65,23,10,17
42.0,65,23,10,17
43.0,65,23,10,17
44.0,66,24,10,16
45.0,66,24,10,16
46.0,68,25,11,14
47.0,69,26,10,14
48.0,70,25,10,15
49.0,70,23,12,15
50.0,70,20,15,15
51.0,71,18,18,14
52.0,73,15,21,14
53.0,73,13,23,14
54.0,75,11,26,13
55.0,75,10,27,13
56.0,75,9,28,13
57.0,75,9,12,29
58.0,75,9,11,30
59.0,76,8,10,32
60.0,77,8,10,32
61.0,78,6,12,32
62.0,78,5,12,33
63.0,79,5,13,32
64.0,83,5,13,32
65.0,84,5,13,32
66.0,86,4,13,33
67.0,91,3,13,34
68.0,91,3,13,34
69.0,91,2,14,34
70.0,92,3,14,33
71.0,96,5,14,31
72.0,98,5,14,31
73.0,101,5,14,31
74.0,106,5,14,31
75.0,107,5,14,31
76.0,107,5,14,31
77.0,108,6,14,30
78.0,110,5,15,30
79.0,113,6,15,29
80.0,116,6,15,29
81.0,117,6,15,29
82.0,120,6,16,28
83.0,120,6,16,28
84.0,120,6,16,28
85.0,121,5,11,34
86.0,124,3,13,34
87.0,128,3,13,34
88.0,132,6,13,31
89.0,135,9,13,28
90.0,137,11,13,26
91.0,137,11,13,26
92.0,138,10,14,26
93.0,141,13,14,23
94.0,145,15,15,20
95.0,148,18,15,17
96.0,148,18,15,17
97.0,148,17,15,18
98.0,149,18,15,17
99.0,150,18,15,17
100.0,152,19,15,16
101.0,153,20,15,15
102.0,153,20,15,15
103.0,154,18,17,15
104.0,155,15,18,17
105.0,155,13,19,18
106.0,157,14,19,17
107.0,157,14,19,17
108.0,158,11,22,17
109.0,159,8,24,18
110.0,161,7,26,17
111.0,163,7,26,17
112.0,164,7,26,17
113.0,164,6,27,17
114.0,168,6,27,17
115.0,168,5,27,18
116.0,169,5,27,18
117.0,169,5,27,18
118.0,170,4,28,18
119.0,172,4,28,18
120.0,173,4,28,18
