time,food,rest,wait,work
1.0,0,0,40,10
2.0,0,0,40,10
3.0,0,0,10,40
4.0,0,0,10,40
5.0,0,0,10,40
6.0,0,0,10,40
7.0,0,0,10,40
8.0,0,0,10,40
9.0,0,0,10,40
10.0,0,0,0,50
11.0,0,0,0,50
12.0,0,0,0,50
13.0,0,0,0,50
14.0,0,0,0,50
15.0,0,0,0,50
16.0,1,0,0,50
17.0,1,0,0,50
18.0,1,0,0,50
19.0,3,0,0,50
20.0,4,0,0,50
21.0,4,0,0,50
22.0,4,0,0,50
23.0,6,0,0,50
24.0,7,0,0,50
25.0,7,0,0,50
26.0,12,0,0,50
27.0,14,0,0,50
28.0,14,0,0,50
29.0,14,0,0,50
30.0,15,0,0,50
31.0,15,0,0,50
32.0,17,0,0,50
33.0,20,1,0,49
34.0,22,2,0,48
35.0,24,4,0,46
36.0,25,5,0,45
37.0,27,7,0,43
38.0,28,8,0,42
39.0,30,9,0,41
40.0,33,12,0,38
41.0,35,14,0,36
42.0,37,16,0,34
43.0,40,19,0,31
44.0,40,19,0,31
45.0,41,20,0,30
46.0,44,23,0,27
47.0,44,23,0,27
48.0,46,24,0,26
49.0,47,24,1,25
50.0,48,23,2,25
51.0,49,23,3,24
52.0,49,21,4,25
53.0,50,21,4,25
54.0,50,20,5,25
55.0,51,18,7,25
56.0,53,18,8,24
57.0,54,17,10,23
58.0,54,14,13,23
59.0,54,14,13,23
60.0,56,15,6,29
61.0,57,12,9,29
62.0,59,14,9,27
63.0,59,12,10,28
64.0,60,12,11,27
65.0,60,10,13,27
66.0,60,10,13,27
67.0,60,10,6,34
68.0,60,9,5,36
69.0,60,9,5,36
70.0,61,9,6,35
71.0,62,8,7,35
72.0,63,7,8,35
73.0,63,7,8,35
74.0,64,7,8,35
75.0,65,6,9,35
76.0,65,6,9,35
77.0,65,4,11,35
78.0,65,4,7,39
79.0,65,3,8,39
80.0,66,3,7,40
81.0,66,3,7,40
82.0,68,3,7,40
83.0,68,3,7,40
84.0,71,4,7,39
85.0,71,3,8,39
86.0,73,4,9,37
87.0,74,5,9,36
88.0,75,5,9,36
89.0,75,5,9,36
90.0,75,4,10,36
91.0,77,5,10,35
92.0,77,5,10,35
93.0,78,5,10,35
94.0,79,6,10,34
95.0,79,6,10,34
96.0,80,6,10,34
97.0,81,7,10,33
98.0,81,7,10,33
99.0,83,8,10,32
100.0,83,8,10,32
101.0,84,6,11,33
102.0,85,6,12,32
103.0,86,7,12,31
104.0,88,9,12,29
105.0,89,9,12,29
106.0,90,8,12,30
107.0,91,9,12,29
108.0,93,11,12,27
109.0,94,11,12,27
110.0,96,13,12,25
111.0,96,13,12,25
112.0,96,12,13,25
113.0,97,13,8,29
114.0,98,12,10,28
115.0,98,12,10,28
116.0,98,12,10,28
117.0,99,12,11,27
118.0,100,12,12,26
119.0,101,11,12,27
120.0,101,11,12,27
