time,food,rest,wait,work
1.0,0,0,42,8
2.0,0,0,39,11
3.0,0,0,32,18
4.0,0,0,28,22
5.0,0,0,23,27
6.0,0,0,14,36
7.0,0,0,11,39
8.0,0,0,8,42
9.0,1,0,8,42
10.0,2,0,8,42
11.0,2,0,8,42
12.0,2,0,8,42
13.0,5,0,8,42
14.0,6,0,8,42
15.0,8,0,8,42
16.0,8,0,8,42
17.0,11,0,8,42
18.0,12,0,8,42
19.0,13,0,8,42
20.0,14,0,8,42
21.0,19,0,8,42
22.0,23,0,8,42
23.0,25,0,8,42
24.0,25,0,8,42
25.0,27,0,8,42
26.0,27,0,8,42
27.0,28,0,8,42
28.0,35,0,8,42
29.0,37,0,8,42
30.0,40,0,8,42
31.0,44,0,8,42
32.0,48,1,8,41
33.0,49,2,8,40
34.0,52,2,8,40
35.0,55,5,8,37
36.0,61,9,8,33
37.0,63,11,8,31
38.0,68,16,8,26
39.0,71,19,8,23
40.0,74,22,8,20
41.0,76,24,8,18
42.0,79,27,8,15
43.0,81,29,8,13
44.0,82,30,8,12
45.0,83,31,8,11
46.0,83,31,8,11
47.0,84,31,9,10
48.0,84,30,10,10
49.0,85,31,8,11
50.0,86,29,10,11
51.0,86,25,13,12
52.0,86,23,15,12
53.0,86,17,20,13
54.0,87,16,20,14
55.0,88,14,23,13
56.0,90,13,25,12
57.0,90,10,27,13
58.0,90,8,26,16
59.0,91,8,25,17
60.0,92,7,26,17
61.0,93,7,26,17
62.0,94,6,26,18
63.0,94,6,26,18
64.0,95,5,27,18
65.0,97,4,28,18
66.0,98,5,28,17
67.0,100,6,28,16
68.0,101,6,28,16
69.0,102,5,29,16
70.0,105,5,30,15
71.0,106,4,30,16
72.0,108,4,30,16
73.0,110,4,30,16
74.0,110,3,30,17
75.0,113,3,30,17
76.0,114,3,30,17
77.0,114,3,30,17
78.0,118,3,30,17
79.0,121,3,30,17
80.0,121,3,30,17
81.0,124,4,31,15
82.0,127,3,31,16
83.0,128,3,31,16
84.0,130,3,31,16
85.0,133,3,32,15
86.0,133,3,31,16
87.0,135,4,31,15
88.0,137,4,31,15
89.0,139,4,31,15
90.0,143,8,31,11
91.0,144,9,31,10
92.0,145,10,31,9
93.0,145,10,31,9
94.0,146,11,30,9
95.0,150,13,30,7
96.0,151,12,32,6
97.0,151,12,31,7
98.0,151,12,31,7
99.0,151,12,29,9
100.0,151,11,25,14
101.0,152,11,25,14
102.0,154,11,26,13
103.0,155,11,26,13
104.0,155,11,26,13
105.0,157,7,29,14
106.0,157,6,29,15
107.0,158,5,30,15
108.0,159,5,30,15
109.0,160,5,31,14
110.0,161,3,32,15
111.0,161,2,32,16
112.0,163,2,32,16
113.0,164,2,32,16
114.0,164,2,32,16
115.0,165,2,32,16
116.0,166,3,32,15
117.0,167,2,33,15
118.0,170,3,33,14
119.0,171,3,33,14
120.0,173,3,33,14
