time,food,rest,wait,work
1.0,0,0,40,10
2.0,0,0,40,10
3.0,0,0,10,40
4.0,0,0,10,40
5.0,0,0,10,40
6.0,0,0,10,40
7.0,1,0,10,40
8.0,1,0,10,40
9.0,1,0,10,40
10.0,4,0,10,40
11.0,6,0,10,40
12.0,7,0,10,40
13.0,7,0,10,40
14.0,9,0,10,40
15.0,10,0,10,40
16.0,10,0,10,40
17.0,14,0,10,40
18.0,15,0,10,40
19.0,18,0,10,40
20.0,19,0,10,40
21.0,20,0,10,40
22.0,22,0,10,40
23.0,23,0,10,40
24.0,24,0,10,40
25.0,27,0,10,40
26.0,29,0,10,40
27.0,29,0,10,40
28.0,30,0,10,40
29.0,33,0,10,40
30.0,35,0,10,40
31.0,37,0,10,40
32.0,39,1,10,39
33.0,40,2,10,38
34.0,40,2,10,38
35.0,42,4,10,36
36.0,44,6,10,34
37.0,46,8,10,32
38.0,48,10,10,30
39.0,49,11,10,29
40.0,50,12,10,28
41.0,51,13,10,27
42.0,54,16,10,24
43.0,55,17,10,23
44.0,55,17,10,23
45.0,56,18,10,22
46.0,57,19,10,21
47.0,58,19,10,21
48.0,59,19,10,21
49.0,59,19,10,21
50.0,59,17,12,21
51.0,59,15,14,21
52.0,60,14,15,21
53.0,60,12,17,21
54.0,60,11,18,21
55.0,61,11,14,25
56.0,62,11,15,24
57.0,63,9,18,23
58.0,63,8,19,23
59.0,64,9,19,22
60.0,66,10,20,20
61.0,66,9,21,20
62.0,67,8,22,20
63.0,67,7,23,20
64.0,67,7,23,20
65.0,67,7,11,32
66.0,68,8,11,31
67.0,68,7,11,32
68.0,70,8,11,31
69.0,72,8,11,31
70.0,73,8,12,30
71.0,74,8,13,29
72.0,77,7,14,29
73.0,79,7,14,29
74.0,79,6,14,30
75.0,80,4,15,31
76.0,81,4,15,31
77.0,81,4,15,31
78.0,81,4,15,31
79.0,84,4,10,36
80.0,86,4,10,36
81.0,86,3,11,36
82.0,86,3,11,36
83.0,91,3,12,35
84.0,91,3,12,35
85.0,92,2,12,36
86.0,97,2,13,35
87.0,100,2,13,35
88.0,101,2,13,35
89.0,101,2,13,35
90.0,104,3,13,34
91.0,104,3,13,34
92.0,107,4,13,33
93.0,109,4,13,33
94.0,112,4,13,33
95.0,112,4,13,33
96.0,113,4,13,33
97.0,114,5,13,32
98.0,115,4,13,33
99.0,115,4,13,33
100.0,116,5,13,32
101.0,121,7,14,29
102.0,122,8,14,28
103.0,124,10,14,26
104.0,126,12,14,24
105.0,127,12,15,23
106.0,129,14,15,21
107.0,134,16,16,18
108.0,136,17,16,17
109.0,138,19,16,15
110.0,139,20,16,14
111.0,139,20,16,14
112.0,140,20,17,13
113.0,140,20,17,13
114.0,141,20,17,13
115.0,141,19,18,13
116.0,142,17,21,12
117.0,143,17,22,11
118.0,144,16,23,11
119.0,144,14,24,12
120.0,144,13,24,13
