time,food,rest,wait,work
1.0,0,0,40,10
2.0,0,0,40,10
3.0,0,0,10,40
4.0,0,0,10,40
5.0,0,0,10,40
6.0,0,0,10,40
7.0,0,0,10,40
8.0,0,0,10,40
9.0,0,0,10,40
10.0,0,0,0,50
11.0,1,0,0,50
12.0,2,0,0,50
13.0,2,0,0,50
14.0,3,0,0,50
15.0,4,0,0,50
16.0,5,0,0,50
17.0,6,0,0,50
18.0,10,0,0,50
19.0,12,0,0,50
20.0,15,0,0,50
21.0,15,0,0,50
22.0,18,0,0,50
23.0,21,0,0,50
24.0,22,0,0,50
25.0,26,0,0,50
26.0,28,0,0,50
27.0,31,0,0,50
28.0,33,0,0,50
29.0,34,0,0,50
30.0,37,0,0,50
31.0,41,0,0,50
32.0,44,0,0,50
33.0,46,0,0,50
34.0,50,4,0,46
35.0,52,6,0,44
36.0,55,9,0,41
37.0,60,14,0,36
38.0,66,16,0,34
39.0,68,18,0,32
40.0,71,20,0,30
41.0,73,22,0,28
42.0,74,23,0,27
43.0,75,24,0,26
44.0,76,25,0,25
45.0,80,29,0,21
46.0,81,30,0,20
47.0,81,30,0,20
48.0,81,30,0,20
49.0,81,26,3,21
50.0,81,24,4,22
51.0,81,21,6,23
52.0,83,18,7,25
53.0,84,17,8,25
54.0,85,16,9,25
55.0,86,15,11,24
56.0,87,14,13,23
57.0,87,13,14,23
58.0,88,12,15,23
59.0,90,11,16,23
60.0,91,7,20,23
61.0,91,6,21,23
62.0,91,6,21,23
63.0,91,6,8,36
64.0,92,7,8,35
65.0,92,7,8,35
66.0,92,7,8,35
67.0,93,6,10,34
68.0,93,5,10,35
69.0,94,4,11,35
70.0,95,3,12,35
71.0,95,2,13,35
72.0,95,2,13,35
73.0,96,3,9,38
74.0,96,3,9,38
75.0,97,3,9,38
76.0,99,3,9,38
77.0,99,3,9,38
78.0,100,3,9,38
79.0,101,2,10,38
80.0,101,2,10,38
81.0,101,2,10,38
82.0,104,2,10,38
83.0,105,3,10,37
84.0,106,4,10,36
85.0,106,4,10,36
86.0,106,4,10,36
87.0,107,5,10,35
88.0,110,5,11,34
89.0,111,6,11,33
90.0,112,7,11,32
91.0,113,8,11,31
92.0,115,9,11,30
93.0,115,9,11,30
94.0,117,11,11,28
95.0,118,12,11,27
96.0,118,12,11,27
97.0,118,11,11,28
98.0,121,13,10,27
99.0,122,12,11,27
100.0,122,12,11,27
101.0,124,14,11,25
102.0,124,13,12,25
103.0,124,12,12,26
104.0,126,11,11,28
105.0,127,11,12,27
106.0,127,10,13,27
107.0,127,9,13,28
108.0,127,9,11,30
109.0,128,8,12,30
110.0,131,8,13,29
111.0,132,8,13,29
112.0,132,8,13,29
113.0,134,7,16,27
114.0,134,7,16,27
115.0,135,8,16,26
116.0,138,7,17,26
117.0,140,9,17,24
118.0,140,9,17,24
119.0,141,10,17,23
120.0,141,9,18,23
1.0,0,0,40,10
2.0,0,0,40,10
3.0,0,0,10,40
4.0,0,0,10,40
5.0,0,0,10,40
6.0,0,0,10,40
7.0,0,0,10,40
8.0,0,0,10,40
9.0,0,0,10,40
10.0,0,0,0,50
11.0,0,0,0,50
12.0,0,0,0,50
13.0,0,0,0,50
14.0,0,0,0,50
15.0,0,0,0,50
16.0,0,0,0,50
17.0,0,0,0,50
18.0,0,0,0,50
19.0,0,0,0,50
20.0,0,0,0,50
21.0,0,0,0,50
22.0,0,0,0,50
23.0,0,0,0,50
24.0,0,0,0,50
25.0,2,0,0,50
26.0,3,0,0,50
27.0,3,0,0,50
28.0,3,0,0,50
29.0,3,0,0,50
30.0,3,0,0,50
31.0,4,1,0,49
32.0,6,1,0,49
33.0,6,1,0,49
34.0,6,1,0,49
35.0,6,1,0,49
36.0,6,1,0,49
37.0,6,1,0,49
38.0,7,2,0,48
39.0,7,2,0,48
40.0,7,2,0,48
41.0,7,2,0,48
42.0,8,3,0,47
43.0,8,3,0,47
44.0,8,3,0,47
45.0,8,3,0,47
46.0,8,2,0,48
47.0,8,2,0,48
48.0,8,2,0,48
49.0,8,2,0,48
